skillID,skillName,description,skillEfficiency,ownerName
S20232981,Chess,I can tutor anyone with elo ranging from 200-1600,Master,testing2
S20232325,Math,Teach kindergarten children about abacus,Advanced,testing5
S20230765,Violin,Play violin at parties - weddings - or any small ceremonies,Adequate,testing1
S20231311,Piano,Fix broken cords and fine tune classical ones,Professional,cplusplus
S20233676,Babysitting,I can stay at your home watching 0-4 yo kids for you,Experienced,bluecheese
S20239306,Shopping,Shop for groceries - clothing - or anything,Expert,testing2
S20234879,Electricity,I can fix any household appliances you give me,Doctorate,bluecheese
S20237896,Makeup,Best with ulzzang or douyin layout,Proficient,testing4
S20232207,Cooking,Prepare food for feasts or any small-medium-big meals,Umami,testing6
S20236278,Plantcare,Deal mostly with bonsai and decorative trees,Well-trained,testing3
S20235805,Crafts,Help decorate your house for festive seasons,Artful,testing6
S20230922,Laundry,Make your stuffed animals look like new,High,testing7
S20239700,Plumbing,Kitchen sink to toilet clogs - I can plumb anything,Knowledgeable,testing6
S20236004,Laundry,Take care of suits and party dresses,Meticulous,bluecheese
S20237348,Photography,Wedding photos - Personal photoshoots,Professional,testing7
S20249777,Do homework,Science and English subjects from grade 1-12,Master,testing8
S20244003,Build a web,MERN stack,Skillful,testing8
S20248124,Wrap presents,Keep your hands free in the festive seasons,Meticulous,testing8
S20247445,Origami,Make kusudamas - decorations - and more,High,testing8
S20247360,Embroidery,Help with clothes or any art forms,Enthusiastic,testing2
S20241579,Painting,Paint artistic house walls,Professional,testing2
S20241607,Spa,Get rid of blackheads and facial hair,Skillful,testing2
S20248593,Communication,Talking with people,World-class,bluecheese
S20248285,Wash the Dishes,Family-sized to very large piles of utensils,Talented,bluecheese
